유형,위해요소,심각성,발생원인,예방조치및관리방법
B,장출혈성대장균,3,오염된 원료·분변 오염,"가열처리, 입고검사"
B,클로스트리디움퍼프린젠스,1,토양·분변 오염,"가열처리, 냉각관리"
B,살모넬라spp.,2,"분변 오염, 오염된 원료","가열처리, 교차오염 방지"
B,리스테리아모노사이토제네스,3,토양·수분·저온환경,"가열처리, 온도관리"
B,황색포도상구균,1,작업자 손 오염,"개인위생, 가열처리"
B,바실러스세레우스,1,토양·분진 오염,"가열처리, 온도관리"
B,대장균군,2,분변 오염,"가열처리, 세척소독"
B,엔테로사카자키,2,건조식품 오염,위생관리 강화
B,클로스트리디움보툴리눔,3,토양·혐기조건,"가열처리, pH 관리"
B,총대장균군,2,"분변 오염, 용수 오염","가열처리, 용수관리"
B,진균,2,수분·온도 조건,온·습도 관리
B,대장균,2,분변 오염,"가열처리, 교차오염 방지"
B,분원성대장균군,2,분변 오염,"가열처리, 용수관리"
B,장염비브리오,2,해산물 오염,"가열처리, 냉장관리"
B,여시니아엔테로콜리티카,2,냉장 식품 오염,"가열처리, 냉장관리"
C,잔류농약,3,원료 재배 시 농약 사용,"입고검사, 공인시험성적서 확인"
C,중금속,3,토양·용수 오염,"원산지 확인, 입고검사"
C,마이코톡신/곰팡이독소,3,보관 중 곰팡이 발생,"온·습도 관리, 입고검사"
C,알레르기유발물질,2,"교차 오염, 미표시",알레르기 관리 기준 준수
C,식품첨가물,2,과량 첨가,사용기준 준수
C,세척소독제잔류,2,세척 불충분,헹굼 기준 준수
P,금속이물,3,"설비 파손, 원료 혼입","금속검출기, 입고검사"
P,유리이물,3,용기·조명 파손,유리관리 기준 준수
P,플라스틱이물,2,"포장재 파손, 원료 혼입","육안검사, 이물관리"
P,목재이물,2,팔레트·원료 혼입,"입고검사, 이물관리"
P,돌·모래,2,원료 혼입,"선별공정, 입고검사"
